epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,0.395576149225235,,,,,
0,,19,,0.31167614459991455,,,,,
0,,29,,0.28344210982322693,,,,,
0,,39,,0.24185962975025177,,,,,
0,,49,,0.21165831387043,,,,,
0,,59,,0.18243201076984406,,,,,
0,,69,,0.17574431002140045,,,,,
0,,79,,0.15589238703250885,,,,,
0,,89,,0.1635427623987198,,,,,
0,,99,,0.14759017527103424,,,,,
0,,109,,0.15394586324691772,,,,,
0,,119,,0.14275719225406647,,,,,
0,,129,,0.15001310408115387,,,,,
0,,139,,0.14894120395183563,,,,,
0,,149,,0.1521223932504654,,,,,
0,,159,,0.14407320320606232,,,,,
0,,169,,0.1453370898962021,,,,,
0,,179,,0.14056186378002167,,,,,
0,,189,,0.14959150552749634,,,,,
0,,199,,0.14180277287960052,,,,,
0,,209,,0.14069749414920807,,,,,
0,,219,,0.14528913795948029,,,,,
0,,229,,0.14424996078014374,,,,,
0,,239,,0.1379750818014145,,,,,
0,,249,,0.1415223479270935,,,,,
0,,259,,0.13816744089126587,,,,,
0,,269,,0.14013515412807465,,,,,
0,,279,,0.14141856133937836,,,,,
0,,289,,0.14225290715694427,,,,,
0,,299,,0.13400478661060333,,,,,
0,,309,,0.13815604150295258,,,,,
0,,319,,0.1368481069803238,,,,,
0,,324,,,0.18726098537445068,0.7751627564430237,0.26675307750701904,0.40050914883613586,0.11157985776662827
0,,324,0.17453154921531677,,,,,,
,0.001,325,,,,,,,
1,,329,,0.133949875831604,,,,,
1,,339,,0.13673125207424164,,,,,
1,,349,,0.1372627466917038,,,,,
1,,359,,0.14100699126720428,,,,,
1,,369,,0.14387500286102295,,,,,
1,,379,,0.13822193443775177,,,,,
1,,389,,0.14211808145046234,,,,,
1,,399,,0.13657645881175995,,,,,
1,,409,,0.1398916393518448,,,,,
1,,419,,0.13501252233982086,,,,,
1,,429,,0.13743369281291962,,,,,
1,,439,,0.13729076087474823,,,,,
1,,449,,0.13763083517551422,,,,,
1,,459,,0.1451949030160904,,,,,
1,,469,,0.14669369161128998,,,,,
1,,479,,0.1463501900434494,,,,,
1,,489,,0.1400778740644455,,,,,
1,,499,,0.14144547283649445,,,,,
1,,509,,0.13446731865406036,,,,,
1,,519,,0.12970243394374847,,,,,
1,,529,,0.13158319890499115,,,,,
1,,539,,0.1350582093000412,,,,,
1,,549,,0.1403568834066391,,,,,
1,,559,,0.12981532514095306,,,,,
1,,569,,0.13865026831626892,,,,,
1,,579,,0.13702081143856049,,,,,
1,,589,,0.13613848388195038,,,,,
1,,599,,0.14142189919948578,,,,,
1,,609,,0.13565626740455627,,,,,
1,,619,,0.13737933337688446,,,,,
1,,629,,0.14315949380397797,,,,,
1,,639,,0.13232068717479706,,,,,
1,,649,,0.12923438847064972,,,,,
1,,649,,,0.18473611772060394,0.7386435866355896,0.26220017671585083,0.402199387550354,0.10899271816015244
1,,649,0.13796596229076385,,,,,,
,0.001,650,,,,,,,
2,,659,,0.13878993690013885,,,,,
2,,669,,0.1332119256258011,,,,,
2,,679,,0.13135330379009247,,,,,
2,,689,,0.13393189013004303,,,,,
2,,699,,0.13705547153949738,,,,,
2,,709,,0.1361113041639328,,,,,
2,,719,,0.13482101261615753,,,,,
2,,729,,0.1426517218351364,,,,,
2,,739,,0.14018236100673676,,,,,
2,,749,,0.13595698773860931,,,,,
2,,759,,0.13682295382022858,,,,,
2,,769,,0.1385609358549118,,,,,
2,,779,,0.1425648331642151,,,,,
2,,789,,0.13966400921344757,,,,,
2,,799,,0.1347062587738037,,,,,
2,,809,,0.12883293628692627,,,,,
