epoch,lr-Adam,step,train_loss_step
,0.001,0,
0,,9,0.466205358505249
0,,19,0.3627378046512604
0,,29,0.303710013628006
0,,39,0.2996463477611542
0,,49,0.2383517026901245
0,,59,0.2154179811477661
0,,69,0.1868675947189331
0,,79,0.1720563769340515
0,,89,0.15709714591503143
0,,99,0.16939730942249298
0,,109,0.163964182138443
0,,119,0.15528450906276703
0,,129,0.15665049850940704
0,,139,0.15007559955120087
0,,149,0.14744718372821808
0,,159,0.15255190432071686
0,,169,0.1427142173051834
0,,179,0.14315171539783478
0,,189,0.14340977370738983
0,,199,0.14650003612041473
0,,209,0.14030444622039795
0,,219,0.13828040659427643
0,,229,0.14103426039218903
0,,239,0.14590470492839813
0,,249,0.13461299240589142
0,,259,0.14556783437728882
0,,269,0.1366957724094391
0,,279,0.1346033215522766
0,,289,0.14924778044223785
0,,299,0.14155004918575287
